mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
2.542,0.245,2.103,3.007,0.004,0.003,3104.0,3083.0,3102.0,2958.0,1.0
8.71,1.062,6.782,10.802,0.018,0.013,3663.0,3519.0,3657.0,2644.0,1.0
2.547,0.337,1.991,3.185,0.099,0.072,12.0,12.0,12.0,54.0,1.24
6.326,0.877,4.736,8.005,0.024,0.017,1293.0,1293.0,1289.0,1569.0,1.01
5.731,0.65,4.521,6.956,0.016,0.012,1595.0,1595.0,1590.0,1709.0,1.01
6.472,0.745,4.953,7.738,0.018,0.013,1704.0,1693.0,1693.0,2339.0,1.01
6.481,0.857,4.865,8.058,0.026,0.019,1065.0,1065.0,1065.0,1482.0,1.0
6.799,0.867,5.138,8.412,0.021,0.015,1717.0,1694.0,1712.0,2088.0,1.0
7.306,0.962,5.623,9.237,0.023,0.016,1784.0,1764.0,1804.0,1864.0,1.0
3.815,0.446,2.985,4.652,0.019,0.014,525.0,525.0,460.0,1337.0,1.02
7.749,0.995,5.717,9.471,0.024,0.017,1735.0,1735.0,1737.0,1570.0,1.0
2.523,0.268,2.055,3.024,0.008,0.005,1262.0,1209.0,1322.0,1353.0,1.0
6.24,0.959,4.43,8.065,0.037,0.027,659.0,648.0,664.0,953.0,1.0
4.512,0.533,3.573,5.577,0.013,0.01,1563.0,1563.0,1567.0,1938.0,1.01
6.171,0.912,4.439,7.867,0.034,0.024,736.0,733.0,735.0,1090.0,1.01
7.316,0.439,6.504,8.139,0.007,0.005,3508.0,3468.0,3489.0,2461.0,1.0
6.948,0.416,6.107,7.671,0.007,0.005,3670.0,3624.0,3636.0,2567.0,1.0
7.131,1.071,5.225,9.162,0.267,0.192,16.0,16.0,16.0,649.0,1.18
2.618,1.442,1.046,4.5,0.663,0.506,5.0,5.0,7.0,83.0,1.6
1.135,0.027,1.089,1.189,0.001,0.001,1272.0,1258.0,1243.0,1517.0,1.01
1.061,0.036,0.989,1.129,0.001,0.001,741.0,677.0,405.0,1327.0,1.02
1.152,0.029,1.095,1.19,0.014,0.01,4.0,4.0,4.0,11.0,3.3
1.125,0.025,1.093,1.173,0.011,0.008,5.0,5.0,5.0,23.0,2.14
1.075,0.029,1.028,1.125,0.013,0.01,5.0,5.0,5.0,12.0,2.24
1.122,0.022,1.081,1.167,0.009,0.007,6.0,6.0,6.0,12.0,1.79
1.107,0.026,1.058,1.16,0.006,0.004,22.0,22.0,23.0,186.0,1.11
1.135,0.018,1.114,1.172,0.008,0.006,5.0,5.0,6.0,15.0,1.78
1.126,0.027,1.081,1.167,0.013,0.01,5.0,5.0,5.0,11.0,2.46
1.12,0.028,1.075,1.169,0.013,0.01,4.0,4.0,5.0,13.0,2.58
1.036,0.038,0.976,1.094,0.018,0.014,4.0,4.0,5.0,14.0,2.64
1.168,0.021,1.131,1.2,0.001,0.001,420.0,417.0,317.0,300.0,1.01
1.01,0.037,0.939,1.077,0.001,0.0,2972.0,2931.0,2990.0,2371.0,1.0
1.106,0.027,1.053,1.153,0.012,0.009,5.0,5.0,5.0,11.0,2.47
1.108,0.052,1.019,1.2,0.002,0.001,974.0,957.0,891.0,1097.0,1.01
1.083,0.032,1.022,1.142,0.001,0.001,903.0,879.0,851.0,495.0,1.01
1.046,0.029,0.992,1.099,0.001,0.001,1047.0,1036.0,1040.0,1035.0,1.0
-0.165,0.113,-0.3,0.044,0.003,0.002,1058.0,1058.0,1027.0,1001.0,1.01
0.178,0.091,0.019,0.3,0.002,0.002,1563.0,1563.0,1480.0,1553.0,1.0
-0.168,0.114,-0.3,0.047,0.025,0.018,20.0,20.0,25.0,48.0,1.11
0.171,0.091,0.015,0.3,0.019,0.014,22.0,22.0,23.0,779.0,1.11
0.039,0.058,-0.073,0.146,0.017,0.013,11.0,11.0,11.0,15.0,1.27
0.231,0.049,0.143,0.3,0.009,0.007,28.0,27.0,27.0,244.0,1.1
0.218,0.06,0.112,0.3,0.002,0.001,1462.0,1390.0,1300.0,1192.0,1.01
0.045,0.175,-0.249,0.3,0.003,0.003,2831.0,1349.0,2501.0,1404.0,1.0
0.043,0.173,-0.251,0.3,0.003,0.003,2977.0,1502.0,3178.0,2223.0,1.0
-0.108,0.079,-0.239,0.04,0.028,0.02,8.0,8.0,9.0,73.0,1.37
0.038,0.104,-0.14,0.228,0.04,0.03,7.0,7.0,7.0,32.0,1.54
-0.162,0.099,-0.3,0.018,0.02,0.014,25.0,25.0,41.0,427.0,1.11
-0.115,0.103,-0.3,0.046,0.003,0.002,1484.0,1365.0,1449.0,1284.0,1.01
-0.084,0.085,-0.227,0.084,0.028,0.02,9.0,9.0,10.0,70.0,1.31
0.073,0.132,-0.154,0.3,0.005,0.007,734.0,180.0,604.0,1517.0,1.02
0.123,0.082,-0.008,0.287,0.004,0.004,408.0,235.0,414.0,298.0,1.02
0.015,0.066,-0.104,0.146,0.003,0.002,694.0,362.0,785.0,495.0,1.01
1.696,0.13,1.443,1.918,0.004,0.003,1242.0,1237.0,1169.0,1067.0,1.0
1.76,0.125,1.55,1.994,0.005,0.004,616.0,601.0,574.0,598.0,1.01
1.724,0.147,1.479,1.999,0.003,0.002,2634.0,2634.0,2330.0,1303.0,1.0
1.666,0.108,1.451,1.854,0.004,0.003,762.0,762.0,737.0,794.0,1.0
1.671,0.139,1.412,1.906,0.003,0.002,2304.0,2304.0,2259.0,1972.0,1.0
1.706,0.118,1.489,1.934,0.008,0.006,223.0,220.0,231.0,566.0,1.02
1.655,0.1,1.46,1.835,0.002,0.002,1813.0,1810.0,1791.0,1097.0,1.01
1.701,0.114,1.494,1.919,0.003,0.002,1568.0,1567.0,1526.0,1503.0,1.0
1.687,0.099,1.488,1.87,0.003,0.002,872.0,872.0,865.0,508.0,1.01
1.714,0.147,1.451,1.966,0.006,0.004,587.0,585.0,538.0,560.0,1.01
1.76,0.137,1.513,1.99,0.007,0.005,432.0,432.0,418.0,434.0,1.01
1.752,0.138,1.513,1.995,0.004,0.002,1553.0,1553.0,1542.0,696.0,1.0
1.718,0.157,1.461,1.996,0.01,0.007,273.0,273.0,247.0,249.0,1.02
1.706,0.132,1.474,1.959,0.002,0.002,3237.0,3237.0,3137.0,2293.0,1.0
1.665,0.146,1.404,1.909,0.008,0.006,344.0,344.0,309.0,397.0,1.02
1.685,0.097,1.493,1.859,0.002,0.001,2645.0,2645.0,2630.0,1976.0,1.0
1.806,0.094,1.646,1.986,0.003,0.002,785.0,752.0,688.0,330.0,1.0
5616.697,559.841,4866.038,6465.199,249.403,188.023,5.0,5.0,7.0,147.0,1.56
5208.817,553.762,4481.023,6085.692,246.352,185.394,5.0,5.0,7.0,82.0,1.56
5816.132,552.565,5152.246,6580.807,252.372,190.919,5.0,5.0,7.0,75.0,1.59
5535.753,524.503,4890.383,6388.885,234.219,176.491,5.0,5.0,7.0,29.0,1.62
5718.963,508.197,5125.106,6441.755,231.305,174.931,5.0,5.0,7.0,23.0,1.66
5388.538,502.705,4814.941,6122.771,229.876,173.64,5.0,5.0,7.0,56.0,1.55
5375.817,525.314,4744.204,6168.431,239.269,180.634,5.0,5.0,7.0,112.0,1.56
5739.23,528.036,4918.777,6717.91,209.834,155.802,6.0,6.0,7.0,89.0,1.54
5732.339,547.848,4902.793,6775.608,218.834,162.939,6.0,6.0,7.0,81.0,1.55
5923.041,568.559,5290.218,6692.22,263.288,199.767,5.0,5.0,6.0,27.0,1.71
5605.081,614.782,4792.33,6545.676,277.894,209.569,5.0,5.0,7.0,79.0,1.65
5902.56,555.309,5249.29,6654.272,254.936,193.103,5.0,5.0,7.0,109.0,1.58
5845.499,603.477,5010.708,6867.871,258.296,193.795,5.0,5.0,7.0,117.0,1.54
5904.903,557.467,5260.878,6682.086,256.642,194.52,5.0,5.0,7.0,66.0,1.66
5685.442,545.574,4971.755,6591.581,237.891,178.539,5.0,5.0,7.0,112.0,1.55
5600.281,546.333,4965.979,6419.648,249.029,188.094,5.0,5.0,7.0,63.0,1.58
5735.468,549.587,5119.53,6502.683,253.326,191.799,5.0,5.0,7.0,126.0,1.57
1.078,0.189,0.815,1.429,0.075,0.056,6.0,6.0,7.0,123.0,1.52
1.148,0.182,0.936,1.448,0.082,0.062,5.0,5.0,7.0,118.0,1.56
1.155,0.187,0.904,1.481,0.082,0.062,5.0,5.0,6.0,28.0,1.69
1.262,0.189,1.071,1.537,0.088,0.067,5.0,5.0,6.0,30.0,1.74
1.224,0.197,0.995,1.508,0.092,0.07,5.0,5.0,5.0,12.0,2.02
1.254,0.199,1.057,1.531,0.093,0.07,5.0,5.0,6.0,32.0,1.68
1.245,0.198,1.041,1.53,0.092,0.069,5.0,5.0,7.0,94.0,1.56
1.246,0.175,1.053,1.529,0.079,0.06,5.0,5.0,6.0,36.0,1.66
